feature,importance
abnormal_duration,0.6468368768692017
rolling_std_pm25,0.13033121824264526
current_voc,0.04552091285586357
neighbor_diff,0.03199085593223572
slope_pm25,0.02012595534324646
rolling_max_voc,0.015250998549163342
region_A,0.012891553342342377
region_C,0.01151992566883564
rolling_std_voc,0.010118987411260605
current_co2,0.009855728596448898
rolling_max_pm25,0.008130150847136974
rolling_mean_voc,0.0079385656863451
rolling_max_co2,0.0073633925057947636
slope_voc,0.006612592842429876
rolling_std_co2,0.005753604229539633
rolling_mean_pm25,0.005292973481118679
rolling_mean_co2,0.0046942103654146194
slope_co2,0.0037278092931956053
current_pm25,0.0036769567523151636
region_D,0.0034515089355409145
current_humidity,0.0033008831087499857
current_temperature,0.0029217053670436144
region_B,0.002043060725554824
data_age,0.0006495412671938539
time_period,0.0
hour,0.0
valid_flag,0.0
sample_interval,0.0
